# How often are certificates being renewed. Get amount, the first and last month of the not_before for grouped certificates.

+------+----------------+---------------+-------+
|interv|first_year_month|last_year_month|count  |
|3     |201907          |202005         |22297  |
|3     |201902          |202001         |21903  |
|4     |201909          |202006         |21838  |
|3     |201904          |202005         |21692  |
|3     |201905          |202005         |21566  |
|4     |201904          |202005         |21423  |
|3     |201908          |202004         |21026  |
|3     |201906          |201909         |20666  |
|3     |201908          |201911         |20635  |
|3     |201904          |202003         |20628  |
|3     |202002          |202006         |20618  |
|11    |201902          |202001         |20387  |
|2     |202002          |202003         |20191  |
|5     |201903          |201909         |20133  |
|6     |201903          |201911         |20030  |
|7     |201904          |202002         |19913  |
|5     |201904          |202006         |19901  |
|5     |201902          |202003         |19838  |
|2     |201906          |201911         |19831  |
|5     |201902          |202004         |19435  |
|4     |201902          |202005         |19351  |
|4     |201906          |202004         |19296  |
|3     |201902          |201909         |18924  |
|4     |201907          |202004         |18794  |
|4     |201904          |202004         |18700  |
|2     |201909          |202003         |18688  |
|4     |201904          |202003         |18544  |
|10    |201902          |202003         |18434  |
|3     |201911          |202006         |18387  |
|5     |201910          |202005         |18156  |
|9     |201902          |202001         |18103  |
|2     |201906          |201907         |18064  |
|3     |201908          |202005         |18005  |
|2     |202004          |202005         |17795  |
|2     |201903          |201908         |17506  |
|3     |201908          |202003         |17498  |
|3     |201902          |202002         |17404  |
|4     |201912          |202006         |17289  |
|2     |201906          |202001         |17248  |
|11    |201902          |202005         |17159  |
|5     |201910          |202006         |16968  |
|2     |201909          |202002         |16934  |
|2     |201909          |202005         |16888  |
|4     |201912          |202005         |16793  |
|9     |201903          |202002         |16770  |
|2     |201906          |202002         |16670  |
|10    |201903          |202003         |16142  |
|6     |201908          |202005         |16101  |
|6     |201902          |201909         |16034  |
|5     |201902          |201907         |15733  |
|6     |201905          |202006         |15631  |
|7     |201906          |202005         |15624  |
|6     |201902          |202006         |15520  |
|4     |201902          |202003         |15254  |
|7     |201902          |201911         |15028  |
|2     |201905          |201910         |14913  |
|2     |201904          |201909         |14717  |
|2     |201904          |202001         |14673  |
|2     |202003          |202006         |14513  |
|6     |201905          |202001         |14492  |
|7     |201905          |202004         |14245  |
|2     |201902          |201907         |14047  |
|10    |201903          |202005         |13998  |
|2     |201904          |202002         |13922  |
|4     |201902          |202004         |13775  |
|5     |201903          |202004         |13640  |
|3     |201902          |201911         |13619  |
|2     |201905          |201912         |13484  |
|3     |201906          |202004         |13351  |
|3     |201909          |202004         |13317  |
|2     |201912          |202006         |13200  |
|2     |201910          |202004         |13159  |
|2     |201902          |202002         |13132  |
|6     |201908          |202006         |13015  |
|3     |201903          |202002         |12945  |
|9     |201902          |202002         |12790  |
|2     |201907          |202002         |12682  |
|8     |201904          |202003         |12627  |
|2     |201903          |201912         |12542  |
|9     |201903          |202006         |12419  |
|12    |201902          |202002         |12277  |
|9     |201903          |202001         |12217  |
|4     |201903          |201907         |11692  |
|3     |201910          |202006         |11658  |
|6     |201907          |202006         |11584  |
|2     |201910          |202003         |11526  |
|5     |201902          |201908         |11365  |
|2     |201903          |201910         |11332  |
|3     |201906          |202003         |11290  |
|3     |201905          |202002         |11243  |
|10    |201902          |202002         |11154  |
|7     |201906          |202006         |11072  |
|6     |201907          |202004         |11048  |
|4     |201908          |202006         |11029  |
|3     |201906          |202005         |11024  |
|2     |201910          |202005         |10638  |
|3     |201904          |202004         |10622  |
|5     |201907          |202001         |10474  |
|13    |201902          |202005         |10461  |
|3     |202002          |202005         |10288  |
|3     |201911          |202001         |10181  |
|2     |202003          |202004         |10173  |
|12    |201902          |202005         |9974   |
|9     |201904          |202003         |9779   |
|2     |201907          |202003         |9753   |
|8     |201903          |201912         |9696   |
|2     |201907          |202005         |9588   |
|10    |201903          |202002         |9560   |
|5     |201909          |202004         |9434   |
|3     |202001          |202006         |9416   |
|2     |201902          |202001         |9323   |
|4     |201909          |202001         |9316   |
|5     |201906          |202006         |9168   |
|10    |201902          |202001         |9114   |
|3     |201912          |202002         |9070   |
|3     |201902          |202005         |9041   |
|6     |201902          |201910         |8917   |
|5     |201903          |202006         |8823   |
|7     |201905          |202003         |8794   |
|2     |201905          |202005         |8711   |
|2     |201911          |202004         |8690   |
|7     |201904          |202001         |8575   |
|2     |201902          |201909         |8494   |
|5     |201909          |202006         |8388   |
|11    |201903          |202001         |8359   |
|13    |201902          |202002         |8308   |
|5     |201909          |202003         |8082   |
|4     |201911          |202004         |8024   |
|2     |201905          |202003         |7979   |
|3     |201903          |201905         |7870   |
|2     |201903          |202003         |7761   |
|2     |201908          |202005         |7658   |
|2     |201908          |202004         |7655   |
|7     |201902          |201910         |7655   |
|11    |201903          |202005         |7589   |
|12    |201903          |202002         |7571   |
|2     |201904          |202005         |7546   |
|4     |201906          |202006         |7478   |
|3     |201902          |202003         |7406   |
|9     |201903          |202004         |7378   |
|2     |201903          |202005         |7331   |
|2     |201903          |202002         |7309   |
|4     |201911          |202006         |7306   |
|8     |201902          |201912         |7043   |
|4     |201910          |202002         |7030   |
|4     |201911          |202003         |7011   |
|4     |201904          |202006         |6919   |
|10    |201902          |202004         |6910   |
|6     |201907          |202003         |6876   |
|7     |201905          |202006         |6857   |
|3     |201902          |201904         |6774   |
|8     |201904          |202002         |6719   |
|2     |201908          |202003         |6650   |
|2     |201902          |201911         |6635   |
|8     |201905          |202003         |6518   |
|4     |201903          |202004         |6499   |
|11    |201902          |202002         |6489   |
|5     |201908          |202002         |6479   |
|6     |201903          |201910         |6337   |
|8     |201904          |202004         |6165   |
|10    |201903          |202001         |6103   |
|8     |201904          |202001         |6019   |
|11    |201902          |202003         |5982   |
|9     |201904          |202005         |5929   |
|3     |201904          |202006         |5920   |
|2     |201906          |202005         |5916   |
|12    |201902          |202003         |5882   |
|11    |201902          |202004         |5796   |
|3     |202001          |202004         |5756   |
|4     |201905          |202004         |5643   |
|6     |201906          |202002         |5632   |
|2     |201905          |202002         |5578   |
|11    |201902          |201912         |5569   |
|2     |201906          |202004         |5547   |
|11    |201903          |202002         |5529   |
|3     |201902          |202004         |5515   |
|3     |201907          |202004         |5479   |
|4     |201907          |202006         |5360   |
|7     |201903          |201911         |5352   |
|5     |201905          |202006         |5319   |
|12    |201902          |202001         |5264   |
|4     |201911          |202002         |5225   |
|3     |201909          |202006         |5188   |
|5     |201903          |201908         |5160   |
|12    |201903          |202005         |5126   |
|7     |201905          |202001         |5120   |
|7     |201906          |202003         |5006   |
|6     |201903          |201909         |4967   |
|7     |201904          |201912         |4868   |
|2     |201906          |202003         |4841   |
|7     |201905          |202002         |4816   |
|4     |201904          |201908         |4726   |
|5     |201911          |202005         |4613   |
|3     |201906          |202006         |4538   |
|3     |201908          |202006         |4525   |
|6     |201908          |202003         |4482   |
|9     |201904          |202002         |4467   |
|5     |201902          |202006         |4455   |
|4     |201908          |201912         |4406   |
|8     |201905          |202005         |4405   |
|3     |201910          |201912         |4374   |
|2     |201902          |202005         |4366   |
|6     |201906          |202001         |4304   |
|6     |201909          |202005         |4300   |
|2     |201904          |202004         |4262   |
|5     |201906          |201912         |4128   |
|4     |201910          |202001         |4095   |
|2     |201904          |202003         |4078   |
|3     |201903          |202004         |4057   |
|6     |201902          |201908         |4035   |
|2     |201902          |202003         |4018   |
|7     |201902          |201909         |4003   |
|10    |201904          |202005         |3948   |
|11    |201903          |202003         |3896   |
|5     |201908          |202001         |3865   |
|14    |201902          |202005         |3722   |
|2     |201910          |202006         |3704   |
|3     |201904          |201906         |3702   |
|13    |201903          |202005         |3660   |
|5     |201904          |201910         |3645   |
|4     |201902          |201905         |3598   |
|9     |201903          |201912         |3595   |
|12    |201902          |202004         |3462   |
|4     |201905          |201909         |3428   |
|5     |201909          |202002         |3421   |
|6     |201907          |202002         |3418   |
|7     |201907          |202005         |3400   |
|12    |201903          |202003         |3305   |
|2     |201909          |202004         |3299   |
|8     |201905          |202002         |3232   |
|4     |201903          |201906         |3151   |
|2     |201903          |202004         |3029   |
|5     |201910          |202003         |2991   |
|13    |201902          |202004         |2989   |
|3     |201905          |202004         |2985   |
|7     |201907          |202003         |2945   |
|7     |201903          |201910         |2898   |
|9     |201905          |202005         |2854   |
|9     |201902          |201912         |2852   |
|10    |201902          |202006         |2799   |
|7     |201908          |202005         |2740   |
|8     |201906          |202005         |2718   |
|7     |201906          |202002         |2710   |
|5     |201910          |202002         |2706   |
|2     |201906          |202006         |2669   |
|8     |201902          |201910         |2659   |
|6     |201905          |201912         |2643   |
|6     |201910          |202005         |2611   |
|10    |201902          |201912         |2569   |
|10    |201903          |202004         |2550   |
|3     |201907          |201909         |2548   |
|4     |201902          |202006         |2503   |
|8     |201902          |201911         |2476   |
|5     |201909          |202001         |2461   |
|15    |201902          |202005         |2454   |
|2     |201911          |202006         |2412   |
|12    |201903          |202001         |2374   |
|13    |201902          |202003         |2364   |
|2     |201902          |202004         |2363   |
|6     |201907          |202001         |2352   |
|4     |201903          |202006         |2341   |
|6     |201908          |202002         |2294   |
|5     |201902          |201906         |2272   |
|6     |201909          |202002         |2271   |
|11    |201902          |202006         |2260   |
|2     |201907          |202004         |2239   |
|3     |201905          |201907         |2230   |
|10    |201903          |202006         |2217   |
